"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
2.606000000000e+04;2.606000000000e+04;1.013250000000e-01;1.526695223574e+02;6.550095818462e-03;1.400756466835e+01;-1.242170091642e+02;-3.334303554814e+06;-3.349772867289e+06;0.000000000000e+00;0.000000000000e+00;9.994730025583e-01;3.931942333035e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.340523380431e+07;-9.680696061989e+02;-3.334305478022e+06;1.007852674681e+02
2.608000000000e+04;2.608000000000e+04;1.013250000000e-01;1.527866901075e+02;6.545072737007e-03;1.400756984951e+01;-1.250821052140e+02;-3.356856612486e+06;-3.372337797039e+06;0.000000000000e+00;0.000000000000e+00;9.994747380462e-01;3.933453534885e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.403702163500e+07;-9.746175754245e+02;-3.356858535693e+06;1.007852674681e+02
2.610000000000e+04;2.610000000000e+04;1.013250000000e-01;1.529038578552e+02;6.540057353863e-03;1.400757504221e+01;-1.259493910159e+02;-3.379484102706e+06;-3.394977159336e+06;0.000000000000e+00;0.000000000000e+00;9.994764621411e-01;3.934964136436e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.467089457444e+07;-9.811871551138e+02;-3.379486025913e+06;1.007852674681e+02
2.612000000000e+04;2.612000000000e+04;1.013250000000e-01;1.530210256010e+02;6.535049651329e-03;1.400758024642e+01;-1.268188632152e+02;-3.402186025471e+06;-3.417690954180e+06;0.000000000000e+00;0.000000000000e+00;9.994781749549e-01;3.936474138550e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.530685262259e+07;-9.877783452661e+02;-3.402187948679e+06;1.007852674681e+02
2.614000000000e+04;2.614000000000e+04;1.013250000000e-01;1.531381933446e+02;6.530049611788e-03;1.400758546210e+01;-1.276905184650e+02;-3.424962380784e+06;-3.440479181570e+06;0.000000000000e+00;0.000000000000e+00;9.994798765979e-01;3.937983542083e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.594489577946e+07;-9.943911458818e+02;-3.424964303991e+06;1.007852674681e+02
2.616000000000e+04;2.616000000000e+04;1.013250000000e-01;1.532553610867e+02;6.525057217634e-03;1.400759068922e+01;-1.285643534259e+02;-3.447813168641e+06;-3.463341841505e+06;0.000000000000e+00;0.000000000000e+00;9.994815671790e-01;3.939492347889e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.658502404501e+07;-1.001025556960e+03;-3.447815091848e+06;1.007852674681e+02
2.618000000000e+04;2.618000000000e+04;1.013250000000e-01;1.533725288269e+02;6.520072451363e-03;1.400759592774e+01;-1.294403647663e+02;-3.470738389044e+06;-3.486278933985e+06;0.000000000000e+00;0.000000000000e+00;9.994832468059e-01;3.941000556817e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.722723741923e+07;-1.007681578502e+03;-3.470740312251e+06;1.007852674681e+02
2.620000000000e+04;2.620000000000e+04;1.013249999999e-01;1.534896965653e+02;6.515095295497e-03;1.400760117763e+01;-1.303185491622e+02;-3.493738041992e+06;-3.509290459011e+06;0.000000000000e+00;0.000000000000e+00;9.994849155845e-01;3.942508169714e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.787153590213e+07;-1.014359210506e+03;-3.493739965199e+06;1.007852674681e+02
2.622000000000e+04;2.622000000000e+04;1.013250000000e-01;1.536068643022e+02;6.510125732615e-03;1.400760643885e+01;-1.311989032972e+02;-3.516812127484e+06;-3.532376416580e+06;0.000000000000e+00;0.000000000000e+00;9.994865736196e-01;3.944015187421e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.851791949369e+07;-1.021058452973e+03;-3.516814050692e+06;1.007852674681e+02
2.624000000000e+04;2.624000000000e+04;1.013250000000e-01;1.537240320375e+02;6.505163745354e-03;1.400761171138e+01;-1.320814238625e+02;-3.539960645521e+06;-3.555536806693e+06;0.000000000000e+00;0.000000000000e+00;9.994882210148e-01;3.945521610778e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.916638819389e+07;-1.027779305902e+03;-3.539962568728e+06;1.007852674681e+02
2.626000000000e+04;2.626000000000e+04;1.013250000000e-01;1.538411997712e+02;6.500209316406e-03;1.400761699517e+01;-1.329661075569e+02;-3.563183596101e+06;-3.578771629350e+06;0.000000000000e+00;0.000000000000e+00;9.994898578719e-01;3.947027440619e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-9.981694200275e+07;-1.034521769294e+03;-3.563185519309e+06;1.007852674681e+02
2.628000000000e+04;2.628000000000e+04;1.013250000000e-01;1.539583675041e+02;6.495262428483e-03;1.400762229021e+01;-1.338529510866e+02;-3.586480979225e+06;-3.602080884551e+06;0.000000000000e+00;0.000000000000e+00;9.994914842920e-01;3.948532677776e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.004695809202e+08;-1.041285843149e+03;-3.586482902432e+06;1.007852674681e+02
2.630000000000e+04;2.630000000000e+04;1.013250000000e-01;1.540755352355e+02;6.490323064409e-03;1.400762759645e+01;-1.347419511655e+02;-3.609852794892e+06;-3.625464572294e+06;0.000000000000e+00;0.000000000000e+00;9.994931003743e-01;3.950037323076e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.011243049463e+08;-1.048071527465e+03;-3.609854718099e+06;1.007852674681e+02
2.632000000000e+04;2.632000000000e+04;1.013250000000e-01;1.541927029655e+02;6.485391207025e-03;1.400763291388e+01;-1.356331045149e+02;-3.633299043100e+06;-3.648922692579e+06;0.000000000000e+00;0.000000000000e+00;9.994947062173e-01;3.951541377344e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.017811140810e+08;-1.054878822244e+03;-3.633300966308e+06;1.007852674681e+02
2.634000000000e+04;2.634000000000e+04;1.013250000000e-01;1.543098706943e+02;6.480466839229e-03;1.400763824244e+01;-1.365264078636e+02;-3.656819723852e+06;-3.672455245407e+06;0.000000000000e+00;0.000000000000e+00;9.994963019179e-01;3.953044841402e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.024400083243e+08;-1.061707727484e+03;-3.656821647059e+06;1.007852674681e+02
2.636000000000e+04;2.636000000000e+04;1.013250000000e-01;1.544270384221e+02;6.475549943961e-03;1.400764358212e+01;-1.374218579477e+02;-3.680414837145e+06;-3.696062230776e+06;0.000000000000e+00;0.000000000000e+00;9.994978875719e-01;3.954547716067e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.031009876761e+08;-1.068558243187e+03;-3.680416760352e+06;1.007852674681e+02
2.638000000000e+04;2.638000000000e+04;1.013250000000e-01;1.545442061489e+02;6.470640504223e-03;1.400764893289e+01;-1.383194515111e+02;-3.704084382980e+06;-3.719743648687e+06;0.000000000000e+00;0.000000000000e+00;9.994994632739e-01;3.956050002154e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.037640521366e+08;-1.075430369351e+03;-3.704086306187e+06;1.007852674681e+02
2.640000000000e+04;2.640000000000e+04;1.013250000000e-01;1.546613738738e+02;6.465738503112e-03;1.400765429470e+01;-1.392191853046e+02;-3.727828361356e+06;-3.743499499139e+06;0.000000000000e+00;0.000000000000e+00;9.995010291172e-01;3.957551700473e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.044292017056e+08;-1.082324105977e+03;-3.727830284563e+06;1.007852674681e+02
2.642000000000e+04;2.642000000000e+04;1.013250000000e-01;1.547785415988e+02;6.460843923649e-03;1.400765966755e+01;-1.401210560868e+02;-3.751646772273e+06;-3.767329782132e+06;0.000000000000e+00;0.000000000000e+00;9.995025851942e-01;3.959052811832e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.050964363832e+08;-1.089239453065e+03;-3.751648695480e+06;1.007852674681e+02
2.644000000000e+04;2.644000000000e+04;1.013250000000e-01;1.548957093222e+02;6.455956749066e-03;1.400766505138e+01;-1.410250606235e+02;-3.775539615732e+06;-3.791234497666e+06;0.000000000000e+00;0.000000000000e+00;9.995041315958e-01;3.960553337037e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.057657561693e+08;-1.096176410614e+03;-3.775541538939e+06;1.007852674681e+02
2.646000000000e+04;2.646000000000e+04;1.013250000000e-01;1.550128770452e+02;6.451076962518e-03;1.400767044619e+01;-1.419311956877e+02;-3.799506891730e+06;-3.815213645740e+06;0.000000000000e+00;0.000000000000e+00;9.995056684121e-01;3.962053276888e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.064371610640e+08;-1.103134978625e+03;-3.799508814937e+06;1.007852674681e+02
2.648000000000e+04;2.648000000000e+04;1.013250000000e-01;1.551300447673e+02;6.446204547287e-03;1.400767585193e+01;-1.428394580601e+02;-3.823548600269e+06;-3.839267226355e+06;0.000000000000e+00;0.000000000000e+00;9.995071957320e-01;3.963552632184e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.071106510672e+08;-1.110115157097e+03;-3.823550523476e+06;1.007852674681e+02
2.650000000000e+04;2.650000000000e+04;1.013250000000e-01;1.552472124884e+02;6.441339486688e-03;1.400768126858e+01;-1.437498445282e+02;-3.847664741348e+06;-3.863395239509e+06;0.000000000000e+00;0.000000000000e+00;9.995087136430e-01;3.965051403720e+03;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00;1.000000000000e+00;-1.077862261790e+08;-1.117116946030e+03;-3.847666664555e+06;1.007852674681e+02
