"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
8.000000000000e+02;8.000000000000e+02;1.013250000000e-02;2.343343419255e+01;4.267406952745e-02;2.801338033362e+01;8.568866742911e+00;5.370751486099e+02;2.996336666073e+02;1.121192008283e+00;8.243906261941e-01;1.360025178184e+00;5.682656791050e+02;1.121192006494e+00;8.243899633522e-01;1.360026276326e+00;5.682637142138e+02;1.499142551370e+04;1.553739849719e-01;5.351519414684e+02;1.007852674681e+02
8.200000000000e+02;8.200000000000e+02;1.013250000000e-02;2.401927078032e+01;4.163323729292e-02;2.801338003527e+01;8.596608694045e+00;5.595451700876e+02;3.161676510349e+02;1.125810796956e+00;8.290094117064e-01;1.358019319273e+00;5.749007326732e+02;1.125810795092e+00;8.290087488645e-01;1.358020409800e+00;5.748987492811e+02;1.562088721826e+04;1.618978457839e-01;5.576219629460e+02;1.007852674681e+02
8.400000000000e+02;8.400000000000e+02;1.013250000000e-02;2.460510735423e+01;4.064196858008e-02;2.801337974815e+01;8.623793318899e+00;5.821074950719e+02;3.327939389692e+02;1.130421231915e+00;8.336198436227e-01;1.356039255258e+00;5.814451308359e+02;1.130421229975e+00;8.336191807807e-01;1.356040338286e+00;5.814431289046e+02;1.625293465789e+04;1.684485056459e-01;5.801842879304e+02;1.007852674681e+02
8.600000000000e+02;8.600000000000e+02;1.013250000000e-02;2.519094391549e+01;3.969680546131e-02;2.801337947149e+01;8.650446571300e+00;6.047618878366e+02;3.495122946838e+02;1.135016483186e+00;8.382150919631e-01;1.354087386482e+00;5.879028128230e+02;1.135016481171e+00;8.382144291211e-01;1.354088462137e+00;5.879007923324e+02;1.688756122910e+04;1.750258961180e-01;6.028386806951e+02;1.007852674681e+02
8.800000000000e+02;8.800000000000e+02;1.013250000000e-02;2.577678046518e+01;3.879460436694e-02;2.801337920459e+01;8.676592460138e+00;6.275079781126e+02;3.663223479097e+02;1.139589921735e+00;8.427885276840e-01;1.352165916243e+00;5.942775121587e+02;1.139589919643e+00;8.427878648421e-01;1.352166984657e+00;5.942754731044e+02;1.752475655939e+04;1.816299096978e-01;6.255847709711e+02;1.007852674681e+02
9.000000000000e+02;9.000000000000e+02;1.013250000000e-02;2.636261700425e+01;3.793250115642e-02;2.801337894681e+01;8.702253228449e+00;6.503452648350e+02;3.832235975820e+02;1.144135092971e+00;8.473336961892e-01;1.350276872166e+00;6.005727728854e+02;1.144135090803e+00;8.473330333472e-01;1.350277933479e+00;6.005707152762e+02;1.816450661223e+04;1.882604009080e-01;6.484220576934e+02;1.007852674681e+02
9.200000000000e+02;9.200000000000e+02;1.013250000000e-02;2.694845353358e+01;3.710788074551e-02;2.801337869758e+01;8.727449512268e+00;6.732731194006e+02;4.002154150976e+02;1.148645694249e+00;8.518442948264e-01;1.348422125059e+00;6.067919642115e+02;1.148645692004e+00;8.518436319844e-01;1.348423179417e+00;6.067898880675e+02;1.880679377831e+04;1.949171872422e-01;6.713499122591e+02;1.007852674681e+02
9.400000000000e+02;9.400000000000e+02;1.013250000000e-02;2.753429005392e+01;3.631835061088e-02;2.801337845636e+01;8.752200481949e+00;6.962907885103e+02;4.172970471573e+02;1.153115555679e+00;8.563141537003e-01;1.346603405650e+00;6.129382937811e+02;1.153115553357e+00;8.563134908582e-01;1.346604453205e+00;6.129361991323e+02;1.945159695517e+04;2.016000499906e-01;6.943675813688e+02;1.007852674681e+02
9.600000000000e+02;9.600000000000e+02;1.013250000000e-02;2.812012656597e+01;3.556171760656e-02;2.801337822269e+01;8.776523968234e+00;7.193973966557e+02;4.344676182525e+02;1.157538623707e+00;8.607372192526e-01;1.344822319537e+00;6.190148197358e+02;1.157538621307e+00;8.607365564105e-01;1.344823360445e+00;6.190127066203e+02;2.009889161682e+04;2.083087349612e-01;7.174741895141e+02;1.007852674681e+02
9.800000000000e+02;9.800000000000e+02;1.013250000000e-02;2.870596307036e+01;3.483596761930e-02;2.801337799613e+01;8.800436575012e+00;7.425919483010e+02;4.517261328477e+02;1.161908947019e+00;8.651075401647e-01;1.343080360620e+00;6.250244617130e+02;1.161908944542e+00;8.651068773227e-01;1.343081395044e+00;6.250223301762e+02;2.074864987493e+04;2.150429531140e-01;7.406687411594e+02;1.007852674681e+02
1.000000000000e+03;1.000000000000e+03;1.013250000000e-02;2.929179956764e+01;3.413924766523e-02;2.801337777628e+01;8.823953780410e+00;7.658733298039e+02;4.690714773006e+02;1.166220664397e+00;8.694192552133e-01;1.341378923234e+00;6.309700109081e+02;1.166220661842e+00;8.694185923712e-01;1.341379951339e+00;6.309678610015e+02;2.140084053260e+04;2.218023811184e-01;7.639501226623e+02;1.007852674681e+02
1.020000000000e+03;1.020000000000e+03;1.013250000000e-02;2.987763605834e+01;3.346985009281e-02;2.801337756279e+01;8.847090027662e+00;7.892403111098e+02;4.865024215565e+02;1.170467994222e+00;8.736665827758e-01;1.339719313176e+00;6.368541393081e+02;1.170467991589e+00;8.736659199337e-01;1.339720335132e+00;6.368519710882e+02;2.205542913180e+04;2.285866618449e-01;7.873171039683e+02;1.007852674681e+02
1.040000000000e+03;1.040000000000e+03;1.013250000000e-02;3.046347254290e+01;3.282619860857e-02;2.801337735531e+01;8.869858806955e+00;8.126915472509e+02;5.040176206475e+02;1.174645225380e+00;8.778438117356e-01;1.338102757776e+00;6.426794081913e+02;1.174645222668e+00;8.778431488935e-01;1.338103773756e+00;6.426772217193e+02;2.271237799542e+04;2.353954048007e-01;8.107683401093e+02;1.007852674681e+02
1.060000000000e+03;1.060000000000e+03;1.013250000000e-02;3.104930902176e+01;3.220683588479e-02;2.801337715355e+01;8.892272729319e+00;8.362255796750e+02;5.216156160216e+02;1.178746709358e+00;8.819452935763e-01;1.336530415144e+00;6.484482759766e+02;1.178746706568e+00;8.819446307342e-01;1.336531425326e+00;6.484460713173e+02;2.337164626446e+04;2.422281865153e-01;8.343023725335e+02;1.007852674681e+02
1.080000000000e+03;1.080000000000e+03;1.013250000000e-02;3.163514549529e+01;3.161041254414e-02;2.801337695723e+01;8.914343593477e+00;8.598408374278e+02;5.392948367242e+02;1.182766853353e+00;8.859654354917e-01;1.335003382719e+00;6.541631054932e+02;1.182766850484e+00;8.859647726496e-01;1.335004387282e+00;6.541608827146e+02;2.403318993114e+04;2.490845508838e-01;8.579176302862e+02;1.007852674681e+02
1.100000000000e+03;1.100000000000e+03;1.013250000000e-02;3.222098196385e+01;3.103567734596e-02;2.801337676609e+01;8.936082446436e+00;8.835356382047e+02;5.570536004511e+02;1.186700114251e+00;8.898986943637e-01;1.333522705187e+00;6.598261707344e+02;1.186700111302e+00;8.898980315216e-01;1.333523704315e+00;6.598239299072e+02;2.469696186838e+04;2.559640094722e-01;8.816124310632e+02;1.007852674681e+02
1.120000000000e+03;1.120000000000e+03;1.013250000000e-02;3.280681842776e+01;3.048146842407e-02;2.801337657990e+01;8.957499638519e+00;9.073081892915e+02;5.748901144878e+02;1.190540993347e+00;8.937395714872e-01;1.332089381883e+00;6.654396631531e+02;1.190540990318e+00;8.937389086451e-01;1.332090375760e+00;6.654374043502e+02;2.536291185618e+04;2.628660417906e-01;9.053849821500e+02;1.007852674681e+02
1.140000000000e+03;1.140000000000e+03;1.013250000000e-02;3.339265488732e+01;2.994670544688e-02;2.801337639844e+01;8.978604873438e+00;9.311565884047e+02;5.928024765510e+02;1.194284031718e+00;8.974826079363e-01;1.330704373720e+00;6.710056975455e+02;1.194284028610e+00;8.974819450942e-01;1.330705362536e+00;6.710034208419e+02;2.603098660509e+04;2.697900955374e-01;9.292333812632e+02;1.007852674681e+02
1.160000000000e+03;1.160000000000e+03;1.013250000000e-02;3.397849134279e+01;2.943038258855e-02;2.801337622151e+01;8.999407253943e+00;9.550788244458e+02;6.107886755420e+02;1.197923806142e+00;9.011223804853e-01;1.329368609730e+00;6.765263175704e+02;1.197923802953e+00;9.011217176431e-01;1.329369593675e+00;6.765240230423e+02;2.670112977741e+04;2.767355868178e-01;9.531556173042e+02;1.007852674681e+02
1.180000000000e+03;1.180000000000e+03;1.013250000000e-02;3.456432779442e+01;2.893156221489e-02;2.801337604894e+01;9.019915323489e+00;9.790727781783e+02;6.288465922244e+02;1.201454925494e+00;9.046534980090e-01;1.328082993255e+00;6.820035009407e+02;1.201454922225e+00;9.046528351668e-01;1.328083972522e+00;6.820011886658e+02;2.737328200613e+04;2.837019003407e-01;9.771495710368e+02;1.007852674681e+02
1.200000000000e+03;1.200000000000e+03;1.013250000000e-02;3.515016424244e+01;2.844936920074e-02;2.801337588056e+01;9.040137104363e+00;1.003136222838e+03;6.469739998337e+02;1.204872027569e+00;9.080705982999e-01;1.326848407849e+00;6.874391643248e+02;1.204872024220e+00;9.080699354578e-01;1.326849382636e+00;6.874368343817e+02;2.804738091199e+04;2.906883895957e-01;1.001213015696e+03;1.007852674681e+02
1.220000000000e+03;1.220000000000e+03;1.013250000000e-02;3.573600068707e+01;2.798298580629e-02;2.801337571621e+01;9.060080122072e+00;1.027266811912e+03;6.651685518585e+02;1.208168396428e+00;9.113669654178e-01;1.325666215995e+00;6.928352968333e+02;1.208168392998e+00;9.113663025756e-01;1.325667186500e+00;6.928329493016e+02;2.872336076124e+04;2.976943733056e-01;1.025343604771e+03;1.007852674681e+02
1.240000000000e+03;1.240000000000e+03;1.013250000000e-02;3.632183712850e+01;2.753164704919e-02;2.801337555575e+01;9.079751475663e+00;1.051462126164e+03;6.834278290604e+02;1.211345760725e+00;9.145443280144e-01;1.324534769523e+00;6.981930488151e+02;1.211345757214e+00;9.145436651722e-01;1.324535735939e+00;6.981906837749e+02;2.940115378277e+04;3.047191490780e-01;1.049538919023e+03;1.007852674681e+02
1.260000000000e+03;1.260000000000e+03;1.013250000000e-02;3.690767356691e+01;2.709463651745e-02;2.801337539904e+01;9.099158010525e+00;1.075719855390e+03;7.017495212360e+02;1.214411016251e+00;9.176095818805e-01;1.323450670341e+00;7.035130362459e+02;1.214411012659e+00;9.176089190383e-01;1.323451632849e+00;7.035106537786e+02;3.008069525995e+04;3.117620461772e-01;1.073796648249e+03;1.007852674681e+02
1.280000000000e+03;1.280000000000e+03;1.013250000000e-02;3.749351000246e+01;2.667128257488e-02;2.801337524595e+01;9.118306352995e+00;1.100037821924e+03;7.201314507197e+02;1.217370529566e+00;9.205690935734e-01;1.322410819638e+00;7.087958737947e+02;1.217370525892e+00;9.205684307312e-01;1.322411778405e+00;7.087934739820e+02;3.076192418894e+04;3.188224323479e-01;1.098114614782e+03;1.007852674681e+02
1.300000000000e+03;1.300000000000e+03;1.013250000000e-02;3.807934643532e+01;2.626095491682e-02;2.801337509637e+01;9.137202916119e+00;1.124413970547e+03;7.385715622932e+02;1.220230186467e+00;9.234287488892e-01;1.321412386104e+00;7.140421728280e+02;1.220230182711e+00;9.234280860470e-01;1.321413341286e+00;7.140397557524e+02;3.144478299610e+04;3.258997108858e-01;1.122490763406e+03;1.007852674681e+02
1.320000000000e+03;1.320000000000e+03;1.013250000000e-02;3.866518286563e+01;2.586306143890e-02;2.801337495016e+01;9.155853905680e+00;1.148846359316e+03;7.570679140114e+02;1.222995435361e+00;9.261939962340e-01;1.320452778072e+00;7.192525397773e+02;1.222995431523e+00;9.261933333918e-01;1.320453729816e+00;7.192501055214e+02;3.212921728095e+04;3.329933179741e-01;1.146923152174e+03;1.007852674681e+02
1.340000000000e+03;1.340000000000e+03;1.013250000000e-02;3.925101929352e+01;2.547704538631e-02;2.801337480722e+01;9.174265326378e+00;1.173333151205e+03;7.756186688511e+02;1.225671326138e+00;9.288698854975e-01;1.319529619030e+00;7.244275748073e+02;1.225671322219e+00;9.288692226552e-01;1.319530567474e+00;7.244251234541e+02;3.281517558220e+04;3.401027202584e-01;1.171409944064e+03;1.007852674681e+02
1.360000000000e+03;1.360000000000e+03;1.013250000000e-02;3.983685571912e+01;2.510238275457e-02;2.801337466744e+01;9.192442988109e+00;1.197872606500e+03;7.942220870952e+02;1.228262545077e+00;9.314611029550e-01;1.318640726038e+00;7.295678707395e+02;1.228262541075e+00;9.314604401127e-01;1.318641671311e+00;7.295654023719e+02;3.350260916449e+04;3.472274126357e-01;1.195949399358e+03;1.007852674681e+02
1.380000000000e+03;1.380000000000e+03;1.013250000000e-02;4.042269214254e+01;2.473857991630e-02;2.801337453071e+01;9.210392512265e+00;1.222463075835e+03;8.128765193803e+02;1.230773446226e+00;9.339720026549e-01;1.317784090665e+00;7.346740121884e+02;1.230773442142e+00;9.339713398126e-01;1.317785032888e+00;7.346715268893e+02;3.419147182352e+04;3.543669162362e-01;1.220539868693e+03;1.007852674681e+02
1.400000000000e+03;1.400000000000e+03;1.013250000000e-02;4.100852856389e+01;2.438517145140e-02;2.801337439693e+01;9.228119338011e+00;1.247102993844e+03;8.315804003396e+02;1.233208079678e+00;9.364066346896e-01;1.316957862101e+00;7.397465748781e+02;1.233208075511e+00;9.364059718473e-01;1.316958801388e+00;7.397440727302e+02;3.488171970805e+04;3.615207765772e-01;1.245179786703e+03;1.007852674681e+02
1.420000000000e+03;1.420000000000e+03;1.013250000000e-02;4.159436498328e+01;2.404171816067e-02;2.801337426600e+01;9.245628728492e+00;1.271790873338e+03;8.503322427831e+02;1.235570217075e+00;9.387687706993e-01;1.316160332170e+00;7.447861251089e+02;1.235570212825e+00;9.387681078571e-01;1.316161268629e+00;7.447836061948e+02;3.557331115683e+04;3.686885618737e-01;1.269867666196e+03;1.007852674681e+02
1.440000000000e+03;1.440000000000e+03;1.013250000000e-02;4.218020140080e+01;2.370780524488e-02;2.801337413784e+01;9.262925776957e+00;1.296525299968e+03;8.691306323631e+02;1.237863374647e+00;9.410619269138e-01;1.315389922007e+00;7.497932193523e+02;1.237863370315e+00;9.410612640715e-01;1.315390855739e+00;7.497906837542e+02;3.626620654918e+04;3.758698614892e-01;1.294602092826e+03;1.007852674681e+02
1.460000000000e+03;1.460000000000e+03;1.013250000000e-02;4.276603781655e+01;2.338304063354e-02;2.801337401235e+01;9.280015412749e+00;1.321304927332e+03;8.879742226775e+02;1.240090834062e+00;9.432893849996e-01;1.314645170170e+00;7.547684039519e+02;1.240090829647e+00;9.432887221574e-01;1.314646101271e+00;7.547658517516e+02;3.696036816779e+04;3.830642845145e-01;1.319381720191e+03;1.007852674681e+02
1.480000000000e+03;1.480000000000e+03;1.013250000000e-02;4.335187423059e+01;2.306705344920e-02;2.801337388945e+01;9.296902407169e+00;1.346128472476e+03;9.068617307711e+02;1.242255661314e+00;9.454542109494e-01;1.313924722030e+00;7.597122149142e+02;1.242255656816e+00;9.454535481071e-01;1.313925650592e+00;7.597096461931e+02;3.765576007272e+04;3.902714584613e-01;1.344205265334e+03;1.007852674681e+02
1.500000000000e+03;1.500000000000e+03;1.013250000000e-02;4.393771064302e+01;2.275949259452e-02;2.801337376906e+01;9.313591379183e+00;1.370994711751e+03;9.257919329957e+02;1.244360723860e+00;9.475592722192e-01;1.313227320277e+00;7.646251777752e+02;1.244360719278e+00;9.475586093769e-01;1.313228246384e+00;7.646225926142e+02;3.835234798543e+04;3.974910280601e-01;1.369071504609e+03;1.007852674681e+02
1.520000000000e+03;1.520000000000e+03;1.013250000000e-02;4.452354705391e+01;2.246002545101e-02;2.801337365109e+01;9.330086800966e+00;1.395902477003e+03;9.447636611979e+02;1.246408706189e+00;9.496072532988e-01;1.312551796397e+00;7.695078075301e+02;1.246408701524e+00;9.496065904565e-01;1.312552720132e+00;7.695052060095e+02;3.905009918198e+04;4.047226541537e-01;1.393979269861e+03;1.007852674681e+02
